ZONA,TIPO_DELITO,FECHA_INICIO,AÑO,MES,SEMANA,TOTAL_DELITOS_REAL,TOTAL_DELITOS_PREDICHO,ERROR_ABSOLUTO,ERROR_PORCENTUAL,TIPO_MODELO
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-05-30,2022,5,22,51,50.2,0.8,1.57,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-05-30,2022,5,22,7,8.94,1.94,27.7,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-05-30,2022,5,22,5,4.8,0.2,3.97,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-05-30,2022,5,22,2,2.02,0.02,0.94,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-05-30,2022,5,22,12,13.43,1.43,11.91,INDIVIDUAL
Soto Norte,VIOLENCIA_INTRAFAMILIAR,2022-05-30,2022,5,22,3,3.76,0.76,25.46,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-05-30,2022,5,22,6,6.05,0.05,0.79,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-05-30,2022,5,22,1,0.96,0.04,3.65,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-05-30,2022,5,22,1,1.0,0.0,0.44,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-05-30,2022,5,22,24,22.91,1.09,4.52,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-06-06,2022,6,23,4,4.32,0.32,8.06,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-06-06,2022,6,23,2,2.01,0.01,0.47,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-06-06,2022,6,23,3,3.14,0.14,4.67,INDIVIDUAL
Soto Norte,VIOLENCIA_INTRAFAMILIAR,2022-06-06,2022,6,23,1,1.12,0.12,11.9,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-06-06,2022,6,23,11,11.43,0.43,3.87,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-06-06,2022,6,23,26,26.17,0.17,0.64,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-06-06,2022,6,23,51,49.28,1.72,3.37,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-06-06,2022,6,23,2,1.89,0.11,5.42,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-06-06,2022,6,23,4,4.05,0.05,1.26,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-06-06,2022,6,23,4,5.23,1.23,30.75,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-06-06,2022,6,23,4,3.94,0.06,1.47,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-06-13,2022,6,24,55,51.72,3.28,5.96,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-06-13,2022,6,24,1,1.02,0.02,2.37,INDIVIDUAL
Comunera,DELITO_SEXUAL,2022-06-13,2022,6,24,1,1.0,0.0,0.12,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-06-13,2022,6,24,1,1.18,0.18,17.78,INDIVIDUAL
Yariguíes,HURTO,2022-06-13,2022,6,24,2,1.98,0.02,0.8,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-06-13,2022,6,24,1,1.59,0.59,58.6,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-06-13,2022,6,24,17,17.65,0.65,3.81,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-06-13,2022,6,24,1,1.02,0.02,1.91,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-06-13,2022,6,24,7,7.53,0.53,7.54,INDIVIDUAL
Metropolitana,DELITO_SEXUAL,2022-06-13,2022,6,24,6,6.6,0.6,9.94,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-06-20,2022,6,25,55,60.45,5.45,9.91,INDIVIDUAL
Metropolitana,HURTO,2022-06-20,2022,6,25,1,1.0,0.0,0.46,POR_TIPO
Metropolitana,DELITO_SEXUAL,2022-06-20,2022,6,25,8,8.3,0.3,3.77,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-06-20,2022,6,25,2,1.98,0.02,0.83,INDIVIDUAL
Vélez,HURTO,2022-06-20,2022,6,25,1,1.02,0.02,2.02,INDIVIDUAL
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-06-20,2022,6,25,26,27.17,1.17,4.5,INDIVIDUAL
Guanentá,VIOLENCIA_INTRAFAMILIAR,2022-06-20,2022,6,25,2,2.0,0.0,0.15,INDIVIDUAL
Vélez,VIOLENCIA_INTRAFAMILIAR,2022-06-20,2022,6,25,3,3.04,0.04,1.4,INDIVIDUAL
Comunera,VIOLENCIA_INTRAFAMILIAR,2022-06-20,2022,6,25,2,2.11,0.11,5.56,INDIVIDUAL
Yariguíes,DELITO_SEXUAL,2022-06-20,2022,6,25,4,3.97,0.03,0.68,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-06-20,2022,6,25,5,4.58,0.42,8.35,INDIVIDUAL
Vélez,DELITO_SEXUAL,2022-06-20,2022,6,25,1,1.01,0.01,1.46,INDIVIDUAL
García-Rovira,HURTO,2022-06-27,2022,6,26,1,1.0,0.0,0.09,POR_TIPO
Yariguíes,VIOLENCIA_INTRAFAMILIAR,2022-06-27,2022,6,26,22,22.61,0.61,2.75,INDIVIDUAL
García-Rovira,VIOLENCIA_INTRAFAMILIAR,2022-06-27,2022,6,26,3,3.46,0.46,15.39,INDIVIDUAL
Guanentá,DELITO_SEXUAL,2022-06-27,2022,6,26,3,3.02,0.02,0.61,INDIVIDUAL
Metropolitana,VIOLENCIA_INTRAFAMILIAR,2022-06-27,2022,6,26,42,42.28,0.28,0.66,INDIVIDUAL
