COMUNA,TIPO_DELITO,DIA_SEMANA,BLOQUE_HORARIO,NIVEL_RIESGO,CONFIANZA_PREDICCION,PROBABILIDAD_ALTO,PROBABILIDAD_MEDIO,PROBABILIDAD_BAJO,DELITOS_HISTORICOS
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,lunes,MADRUGADA,MEDIO,0.5947428362877287,0.012313073971986263,0.5947428362877287,0.39294408974028516,7.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,lunes,MAÑANA,MEDIO,0.682997169298723,0.20827382995779875,0.682997169298723,0.10872900074347816,16.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,lunes,TARDE,MEDIO,0.5853462694437419,0.15455147319247592,0.5853462694437419,0.2601022573637819,7.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,lunes,NOCHE,ALTO,0.48977877054570745,0.48977877054570745,0.328666520394753,0.18155470905953947,0.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,martes,MADRUGADA,BAJO,0.5770521458673731,0.00813699211981398,0.4148108620128128,0.5770521458673731,4.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,martes,MAÑANA,MEDIO,0.7987511207837953,0.08507467626570922,0.7987511207837953,0.11617420295049548,13.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,martes,TARDE,MEDIO,0.6896006392361475,0.100536965511144,0.6896006392361475,0.20986239525270858,10.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,martes,NOCHE,MEDIO,0.6055514521822422,0.03355847322242555,0.6055514521822422,0.3608900745953324,8.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,miércoles,MADRUGADA,BAJO,0.592069239437984,0.003130431334785738,0.4048003292272302,0.592069239437984,5.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,miércoles,MAÑANA,MEDIO,0.8393728919382805,0.06672163831422902,0.8393728919382805,0.09390546974749055,9.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,miércoles,TARDE,MEDIO,0.7228267180025253,0.08026480518425418,0.7228267180025253,0.19690847681322052,7.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,miércoles,NOCHE,MEDIO,0.6551510494013045,0.029677657161714655,0.6551510494013045,0.31517129343698075,4.0
Comuna Cabecera del Llano,DELITOS CONTRA LA LIBERTAD,jueves,MADRUGADA,MEDIO,0.5011613618756038,0.012438441536874123,0.5011613618756038,0.4864001965875219,7.0
